0091726140547422024010104596+44420-072019SOD  +0212K1V4 V020999999999999999999999999999+99999+99999999999ADDAA124000095OE11249999999999997OE22249999999999997REMSOD03024 HR PRECIPITATION (IN): 0.00
0148726140547422024010105546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101465098935MD1190039+9999REMMET07201/01/24 00:54:02 METAR K1V4 010554Z      KT A2996 RMK AO1 SLPNO 51003 $EQDR01      7SKY009R02      7GAS009
0128726140547422024010106546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101495098965REMMET06601/01/24 01:54:02 METAR K1V4 010654Z      KT A2997 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0128726140547422024010107546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101495098965REMMET06601/01/24 02:54:02 METAR K1V4 010754Z      KT A2997 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0148726140547422024010108546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101465098935MD1090009+9999REMMET07201/01/24 03:54:02 METAR K1V4 010854Z      KT A2996 RMK AO1 SLPNO 50000 $EQDR01      7SKY009R02      7GAS009
0128726140547422024010109546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101495098965REMMET06601/01/24 04:54:02 METAR K1V4 010954Z      KT A2997 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0128726140547422024010110546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101565099035REMMET06601/01/24 05:54:02 METAR K1V4 011054Z      KT A2999 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0148726140547422024010111546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101635099105MD1390179+9999REMMET07201/01/24 06:54:02 METAR K1V4 011154Z      KT A3001 RMK AO1 SLPNO 53017 $EQDR01      7SKY009R02      7GAS009
0128726140547422024010112546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101665099135REMMET06601/01/24 07:54:02 METAR K1V4 011254Z      KT A3002 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0128726140547422024010113546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101735099205REMMET06601/01/24 08:54:02 METAR K1V4 011354Z      KT A3004 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0148726140547422024010114546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101765099235MD1290139+9999REMMET07201/01/24 09:54:02 METAR K1V4 011454Z      KT A3005 RMK AO1 SLPNO 52013 $EQDR01      7SKY009R02      7GAS009
0128726140547422024010115546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101735099205REMMET06601/01/24 10:54:02 METAR K1V4 011554Z      KT A3004 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0128726140547422024010116546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101665099135REMMET06601/01/24 11:54:02 METAR K1V4 011654Z      KT A3002 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0148726140547422024010117546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101635099105MD1790139+9999REMMET07201/01/24 12:54:02 METAR K1V4 011754Z      KT A3001 RMK AO1 SLPNO 57013 $EQDR01      7SKY009R02      7GAS009
0128726140547422024010118546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101665099135REMMET06601/01/24 13:54:02 METAR K1V4 011854Z      KT A3002 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0128726140547422024010119546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101695099165REMMET06601/01/24 14:54:02 METAR K1V4 011954Z      KT A3003 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0148726140547422024010120546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101735099205MD1290109+9999REMMET07201/01/24 15:54:02 METAR K1V4 012054Z      KT A3004 RMK AO1 SLPNO 52010 $EQDR01      7SKY009R02      7GAS009
0128726140547422024010121546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101735099205REMMET06601/01/24 16:54:02 METAR K1V4 012154Z      KT A3004 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0128726140547422024010122546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101765099235REMMET06601/01/24 17:54:02 METAR K1V4 012254Z      KT A3005 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0148726140547422024010123546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101835099305MD1390109+9999REMMET07201/01/24 18:54:02 METAR K1V4 012354Z      KT A3007 RMK AO1 SLPNO 53010 $EQDR01      7SKY009R02      7GAS009
0128726140547422024010200546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101795099265REMMET06601/01/24 19:54:01 METAR K1V4 020054Z      KT A3006 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0128726140547422024010201546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101795099265REMMET06601/01/24 20:54:01 METAR K1V4 020154Z      KT A3006 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
0148726140547422024010202546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101795099265MD1690039+9999REMMET07201/01/24 21:54:01 METAR K1V4 020254Z      KT A3006 RMK AO1 SLPNO 56003 $EQDR01      7SKY009R02      7GAS009
0128726140547422024010203546+44420-072019FM-15+0212K1V4 V02099999999999999999N9999997N5+99999+99999999999ADDMA1101795099265REMMET06601/01/24 22:54:01 METAR K1V4 020354Z      KT A3006 RMK AO1 SLPNO $EQDR01      7SKY009R02      7GAS009
