0108997743999992024010100004+40650-074067FM-13+007299999V0202601N004619999999N999999999+00591+99999101621ADDMD1310141+9999OD159900621999REMSYN068ROBN4 46/// /2609 10059 40162 53014 90000 333 91212 555 11009 22009=
0108997743999992024010101004+40650-074067FM-13+007299999V0202501N003619999999N999999999+00571+99999101601ADDMD1110071+9999OD159900411999REMSYN068ROBN4 46/// /2507 10057 40160 51007 90100 333 91208 555 11006 22007=
0108997743999992024010102004+40650-074067FM-13+007299999V0202701N004619999999N999999999+00581+99999101591ADDMD1110031+9999OD159900511999REMSYN068ROBN4 46/// /2709 10058 40159 51003 90200 333 91210 555 11008 22009=
0108997743999992024010103004+40650-074067FM-13+007299999V0202501N002619999999N999999999+00571+99999101591ADDMD1710031+9999OD159900361999REMSYN068ROBN4 46/// /2505 10057 40159 57003 90300 333 91207 555 11004 22005=
0108997743999992024010104004+40650-074067FM-13+007299999V0202501N002619999999N999999999+00561+99999101611ADDMD1410001+9999OD159900261999REMSYN068ROBN4 46/// /2505 10056 40161 54000 90400 333 91205 555 11004 22005=
0108997743999992024010105004+40650-074067FM-13+007299999V0202401N003119999999N999999999+00541+99999101611ADDMD1410001+9999OD159900461999REMSYN068ROBN4 46/// /2406 10054 40161 54000 90500 333 91209 555 11005 22006=
0108997743999992024010106004+40650-074067FM-13+007299999V0202501N003619999999N999999999+00531+99999101591ADDMD1410001+9999OD159900511999REMSYN068ROBN4 46/// /2507 10053 40159 54000 90600 333 91210 555 11007 22007=
0108997743999992024010107004+40650-074067FM-13+007299999V0202801N003619999999N999999999+00521+99999101581ADDMD1710031+9999OD159900511999REMSYN068ROBN4 46/// /2807 10052 40158 57003 90700 333 91210 555 11007 22007=
0108997743999992024010108004+40650-074067FM-13+007299999V0202501N002619999999N999999999+00511+99999101561ADDMD1710051+9999OD159900311999REMSYN068ROBN4 46/// /2505 10051 40156 57005 90800 333 91206 555 11005 22005=
0108997743999992024010109004+40650-074067FM-13+007299999V0202701N002119999999N999999999+00501+99999101541ADDMD1710051+9999OD159900261999REMSYN068ROBN4 46/// /2704 10050 40154 57005 90900 333 91205 555 11003 22004=
